Src	EqId	Version	Datetime	Lat	Lon	Magnitude	Depth	NST	Region
us	b000dc4k	?	"Tuesday, October 23, 2012 22:15:28 UTC"	-18.4234	-177.8223	4.5	628.66	?	"263km NNE of Ndoi Island	 Fiji"
us	b000dc3j	?	"Tuesday, October 23, 2012 21:55:16 UTC"	38.7553	142.3515	4.7	42.21	?	"65km ESE of Ofunato	 Japan"
ak	10586063	?	"Tuesday, October 23, 2012 20:01:02 UTC"	51.5765	-178.3539	2.6	9	?	"37km SSW of Tanaga Volcano	 Alaska"
us	b000dbxe	?	"Tuesday, October 23, 2012 19:11:52 UTC"	2.1501	92.4474	4.6	28.97	?	"Off the west coast of northern Sumatra"
us	b000dbui	?	"Tuesday, October 23, 2012 18:00:43 UTC"	-6.5829	147.9232	5.1	38.32	?	"6km ENE of Finschhafen	 Papua New Guinea"
us	b000dbtq	?	"Tuesday, October 23, 2012 17:47:56 UTC"	-6.6352	147.9176	4.8	53.36	?	"6km ESE of Finschhafen	 Papua New Guinea"
us	2012hbar	?	"Tuesday, October 23, 2012 16:34:18 UTC"	-10.8086	113.6538	4.2	25.9	?	"250km SSW of Sidorukun	 Indonesia"
us	2012hbaq	?	"Tuesday, October 23, 2012 16:17:56 UTC"	42.0944	47.6947	4.1	20.6	?	"7km E of Kubachi	 Russia"
ak	10585964	?	"Tuesday, October 23, 2012 15:25:43 UTC"	51.2649	-177.7522	3.4	20.1	?	"73km SSE of Tanaga Volcano	 Alaska"
us	2012hbap	?	"Tuesday, October 23, 2012 15:20:42 UTC"	38.956	20.6616	4.7	10	?	"7km W of Preveza	 Greece"
nc	71865765	?	"Tuesday, October 23, 2012 14:43:44 UTC"	38.8238	-122.8055	2.5	2.8	?	"7km W of Cobb	 California"
ak	10585923	?	"Tuesday, October 23, 2012 12:43:48 UTC"	58.4435	-150.3219	3.2	3.1	?	"142km ENE of Kodiak	 Alaska"
pr	12297001	?	"Tuesday, October 23, 2012 11:53:27 UTC"	19.1783	-64.1255	3.1	41	?	"98km NNE of Road Town	 British Virgin Islands"
ak	10585904	?	"Tuesday, October 23, 2012 11:28:39 UTC"	60.1617	-152.3205	2.9	92.2	?	"42km SSE of Redoubt Volcano	 Alaska"
